ID,Latitude,Longitude,Geographic location,group
SRR13153409,71.22567,-161.973812,Arctic,Marine
SRR13153407,71.650781,-161.476207,Arctic,Marine
ERR4691681,72.4693,-71.892,Arctic,Marine
ERR4691676,74.2987,-85.7806,Arctic,Marine
SRR13153362,74.349,-159.4893333,Arctic,Marine
SRR13153530,75.639,-158.8061667,Arctic,Marine
SRR13153358,75.93233333,-161.4255,Arctic,Marine
ERR2762132,77.1604,73.2057,Arctic,Marine
ERR2762133,77.1604,73.2057,Arctic,Marine
ERR598970,-29.5019,37.9889,Indian,Marine
ERR599088,-29.5019,37.9889,Indian,Marine
ERR599150,-29.5019,37.9889,Indian,Marine
ERR599012,-22.3368,40.3412,Indian,Marine
ERR599058,-17.0248,42.7401,Indian,Marine
ERR599098,-16.957,53.9801,Indian,Marine
ERR599057,-15.3424,43.2965,Indian,Marine
ERR599138,-9.3921,66.4228,Indian,Marine
ERR599045,0.0033,71.6428,Indian,Marine
ERR599054,0.0033,71.6428,Indian,Marine
ERR599075,6.0001,73.8955,Indian,Marine
ERR599141,6.0001,73.8955,Indian,Marine
ERR599011,14.6059,69.9776,Indian,Marine
ERR599074,14.6059,69.9776,Indian,Marine
ERR598959,18.3967,39.875,Indian,Marine
ERR598991,18.3967,39.875,Indian,Marine
ERR1701760,18.5839,66.4727,Indian,Marine
ERR599145,18.5839,66.4727,Indian,Marine
ERR598949,19.0284,64.5126,Indian,Marine
ERR599102,19.0393,64.4913,Indian,Marine
ERR599158,19.0393,64.4913,Indian,Marine
ERR598966,20.8183,63.5047,Indian,Marine
ERR599143,20.8183,63.5047,Indian,Marine
ERR599049,21.9467,38.2517,Indian,Marine
ERR599134,21.9467,38.2517,Indian,Marine
ERR599116,23.36,37.2183,Indian,Marine
ERR599155,23.36,37.2183,Indian,Marine
ERR315862,33.9179,32.898,Mediterranean Sea,Marine
ERR315863,33.9179,32.898,Mediterranean Sea,Marine
ERR598993,35.759,14.2574,Mediterranean Sea,Marine
ERR598951,39.3888,19.3905,Mediterranean Sea,Marine
ERR599043,39.3888,19.3905,Mediterranean Sea,Marine
ERR315858,42.2038,17.715,Mediterranean Sea,Marine
ERR315861,42.2038,17.715,Mediterranean Sea,Marine
ERR599029,9.8481,-80.0454,North Atlantic,Marine
ERR599123,31.6948,-64.2489,North Atlantic,Marine
ERR598963,34.1132,-49.9181,North Atlantic,Marine
ERR598968,34.6712,-71.3093,North Atlantic,Marine
ERR598976,36.1715,-29.023,North Atlantic,Marine
ERR599003,36.5533,-6.5669,North Atlantic,Marine
ERR598955,36.5533,-6.5669,North Atlantic,Marine
ERR598983,39.2305,-70.0377,North Atlantic,Marine
ERR599078,43.6792,-16.8344,North Atlantic,Marine
ERR599038,0.0003,-153.6759,North Pacific,Marine
ERR598997,1.9928,-84.5766,North Pacific,Marine
ERR599118,1.9928,-84.5766,North Pacific,Marine
ERR599030,6.3332,-102.9432,North Pacific,Marine
ERR599162,7.4122,-79.3017,North Pacific,Marine
ERR599136,25.5264,-88.394,North Pacific,Marine
ERR598969,27.16,34.835,North Pacific,Marine
ERR599106,27.16,34.835,North Pacific,Marine
ERR599142,31.5213,-158.9958,North Pacific,Marine
ERR599009,-47.1863,-58.2902,South Atlantic,Marine
ERR599035,-47.1863,-58.2902,South Atlantic,Marine
ERR598973,-34.9449,17.9189,South Atlantic,Marine
ERR599068,-34.9449,17.9189,South Atlantic,Marine
ERR598994,-32.2401,17.7103,South Atlantic,Marine
ERR599144,-32.2401,17.7103,South Atlantic,Marine
ERR599129,-31.0266,4.665,South Atlantic,Marine
ERR599006,-30.1367,-43.2899,South Atlantic,Marine
ERR599022,-30.1367,-43.2899,South Atlantic,Marine
ERR599010,-20.9354,-35.1803,South Atlantic,Marine
ERR599126,-20.9354,-35.1803,South Atlantic,Marine
ERR599135,-20.4091,-3.1759,South Atlantic,Marine
ERR598984,-8.7789,-17.9099,South Atlantic,Marine
ERR599064,-34.0614,-73.1066,South Pacific,Marine
ERR599050,-32.7971,-87.0693,South Pacific,Marine
ERR599093,-25.8051,-111.7202,South Pacific,Marine
ERR599120,-25.8051,-111.7202,South Pacific,Marine
ERR598954,-23.2811,-129.3947,South Pacific,Marine
ERR599024,-21.146,-104.787,South Pacific,Marine
ERR599077,-16.9601,-100.6335,South Pacific,Marine
ERR599063,-13.0023,-95.9759,South Pacific,Marine
ERR599163,-13.0023,-95.9759,South Pacific,Marine
ERR599169,-13.0023,-95.9759,South Pacific,Marine
ERR599036,-9.1504,-140.5216,South Pacific,Marine
ERR599069,-9.1504,-140.5216,South Pacific,Marine
ERR599080,-9.1504,-140.5216,South Pacific,Marine
ERR599151,-9.1504,-140.5216,South Pacific,Marine
ERR598992,-8.9971,-139.1963,South Pacific,Marine
ERR599066,-8.9111,-142.5571,South Pacific,Marine
ERR599114,-8.9111,-142.5571,South Pacific,Marine
ERR599119,-8.9111,-142.5571,South Pacific,Marine
ERR599160,-8.9068,-140.283,South Pacific,Marine
ERR598943,-5.2529,-85.1545,South Pacific,Marine
ERR598978,-5.2529,-85.1545,South Pacific,Marine
ERR599039,-2.0133,-84.589,South Pacific,Marine
ERR598945,-60.2287,-60.6476,Southern Antarctica,Marine
ERR599059,-60.2287,-60.6476,Southern Antarctica,Marine
ERR599090,-62.0385,-49.529,Southern Antarctica,Marine
ERR315859,42.1735,17.7252,Mediterranean Sea,Marine
ERR318618,33.9235,32.8118,Mediterranean Sea,Marine
ERR318620,33.9235,32.8118,Mediterranean Sea,Marine
ERR598942,35.4002,-127.7499,North Pacific,Marine
ERR598946,-12.9794,-96.0232,South Pacific,Marine
ERR598947,-31.0198,4.6685,South Atlantic,Marine
ERR598948,-9.0063,-139.1394,South Pacific,Marine
ERR598950,36.5533,-6.5669,North Atlantic,Marine
ERR598952,2.0299,-84.5546,North Pacific,Marine
ERR598956,-8.9109,-140.2845,South Pacific,Marine
ERR598957,-23.2189,-129.4997,South Pacific,Marine
ERR598958,34.1504,-56.9684,North Atlantic,Marine
ERR598960,-35.1889,26.2905,Indian,Marine
ERR599051,6.3559,-103.0598,North Pacific,Marine
ERR599132,-5.261,-85.1678,South Pacific,Marine
ERR599133,-8.7296,-17.9604,South Atlantic,Marine
ERR599137,-8.7296,-17.9604,South Atlantic,Marine
ERR599147,14.2075,-116.6468,North Pacific,Marine
ERR599164,-29.5046,37.9599,Indian,Marine
ERR599167,19.0351,64.5638,Indian,Marine
ERR599172,18.7341,66.3896,Indian,Marine
SRR12479657,4.0001,-109.99992,North Pacific,Marine
SRR12479670,16.000617,-109.99965,North Pacific,Marine
SRR12479734,44.96505,-13.59395,North Atlantic,Marine
SRR12479745,46.029083,-12.732517,North Atlantic,Marine
SRR12479777,-11.8807,54.5567,Indian,Marine
SRR12479796,52.996017,-45.995183,North Atlantic,Marine
SRR12479804,-11.627658,95.000033,Indian,Marine
SRR12479805,-11.947892,94.999873,Indian,Marine
SRR12479866,11.970467,88.056458,Indian,Marine
SRR12479894,44.993283,-45.002433,North Atlantic,Marine
SRR12479902,-61,-103.00017,Southern Antarctica,Marine
SRR12479906,-37.012083,-38.8346,South Atlantic,Marine
SRR12479912,-52.9999,-103.01037,South Pacific,Marine
SRR12479913,-52.0004,-102.99897,South Pacific,Marine
SRR12479914,-51.500383,-102.99978,South Pacific,Marine
SRR12479917,-47.999417,-102.99948,South Pacific,Marine
SRR12479919,-47.000117,-103.00053,South Pacific,Marine
SRR12479921,-44.500317,-103.00037,South Pacific,Marine
SRR12479933,-0.8192,57.2574,Indian,Marine
SRR12479939,38.49585,-18.626683,North Atlantic,Marine
SRR12479962,-11.26175,-24.939317,South Atlantic,Marine
SRR12479975,-39.999933,-103.00072,South Pacific,Marine
SRR12479980,-34.501967,-103.00017,South Pacific,Marine
SRR12479997,-23.6558,54.5155,Indian,Marine
SRR12480065,48.469383,-8.83655,North Atlantic,Marine
SRR12480073,-17.999317,-102.99983,South Pacific,Marine
SRR12480076,-15.000133,-103.00017,South Pacific,Marine
SRR12480088,-4.99995,-110.00002,South Pacific,Marine
SRR12480089,-3.9998,-110.00013,South Pacific,Marine
SRR12480209,0.001733,-24.993033,North Atlantic,Marine
SRR12480263,14.8662,64.6666,Indian,Marine
SRR12480362,-8.0045,53.2943,Indian,Marine
SRR13122036,-9.051413,-25.909437,South Atlantic,Marine
SRR13122038,-9.640178,-25.344688,South Atlantic,Marine
SRR13122040,-10.279255,-24.73544,South Atlantic,Marine
SRR13122087,-24.988865,-9.692302,South Atlantic,Marine
SRR13122108,-33.9346,1.030328,South Atlantic,Marine
SRR13122137,32.461225,-70.21267,North Atlantic,Marine
SRR13122139,32.208033,-69.990652,North Atlantic,Marine
SRR13122140,-37.31195,1.386663,South Atlantic,Marine
SRR13122179,24.892138,-58.495278,North Atlantic,Marine
SRR13122195,21.038653,-54.325193,North Atlantic,Marine
SRR13122207,-38.803005,2.244332,South Atlantic,Marine
SRR13122249,5.184072,-38.829192,North Atlantic,Marine
SRR13122261,1.567862,-35.39401,North Atlantic,Marine
SRR13122265,1.140923,-35.97818,North Atlantic,Marine
SRR13122266,1.041333,-34.880782,North Atlantic,Marine
SRR13122276,-6.048825,-28.666125,South Atlantic,Marine
SRR12479693,-20.532583,94.999917,Indian,Marine
SRR12479702,-22.699038,95.000073,Indian,Marine
SRR12479727,-11.1282,53.6649,Indian,Marine
SRR12479728,-11.499,54.1094,Indian,Marine
SRR12479742,-15.5602,55.0007,Indian,Marine
SRR12479744,-16.2271,54.9976,Indian,Marine
SRR12479746,-16.4186,54.9974,Indian,Marine
SRR12479747,6.402,61.3622,Indian,Marine
SRR12479755,4.3887,59.5244,Indian,Marine
SRR12479756,4.3504,59.4872,Indian,Marine
SRR12479772,-9.2587,51.429,Indian,Marine
SRR12479800,-10.884905,94.999033,Indian,Marine
SRR12479817,-14.929767,94.999983,Indian,Marine
SRR12479819,-15.447758,95.0013,Indian,Marine
SRR12479820,-15.717108,94.99,Indian,Marine
SRR12479821,-16.003897,95,Indian,Marine
SRR12479825,11.131,64.6614,Indian,Marine
SRR12479826,11.0729,64.6655,Indian,Marine
SRR12479827,10.5378,64.6657,Indian,Marine
SRR12479873,-29.9034,54.4995,Indian,Marine
SRR12479925,0.4957,57.281,Indian,Marine
SRR12479926,0.2463,57.2715,Indian,Marine
SRR12479935,-1.2307,57.2529,Indian,Marine
SRR12479937,-1.7693,57.2228,Indian,Marine
SRR12479944,-3.2372,56.0005,Indian,Marine
SRR12479945,-3.4765,55.8029,Indian,Marine
SRR12479967,7.982885,88.201662,Indian,Marine
SRR12479971,7.06215,88.908965,Indian,Marine
