sample,AGS (bp),AGS (Mbp),total_bases,genome_equivalents,group
SRR12480278,1403027.247,1.403027247,7392280,5.268807155,Marine
SRR12480036,1996757.865,1.996757865,11009251,5.513563357,Marine
SRR12479751,1951578.62,1.95157862,11353546,5.817621634,Marine
SRR12480352,2246781.82,2.24678182,13351413,5.942460848,Marine
SRR13122248,2047959.475,2.047959475,12798652,6.249465458,Marine
SRR12480019,1805296.745,1.805296745,11574892,6.411628466,Marine
SRR12479794,1410081.192,1.410081192,9486345,6.727516865,Marine
SRR13122050,2515707.157,2.515707157,17283467,6.870222138,Marine
SRR12479911,2256902.967,2.256902967,15843309,7.019933615,Marine
SRR12480142,1382204.277,1.382204277,10446119,7.557579709,Marine
SRR13122107,2924355.171,2.924355171,22723275,7.770354035,Marine
SRR12479776,2498073.856,2.498073856,19410960,7.77037074,Marine
SRR12480031,1836987.325,1.836987325,14489040,7.887392473,Marine
ERR318619,1441435.241,1.441435241,11546113,8.010150352,Marine
SRR12479693,1711412.858,1.711412858,14029215,8.197446302,Marine
SRR13122117,1322202.497,1.322202497,10999876,8.319358057,Marine
SRR12480303,2179883.02,2.17988302,18363647,8.424143328,Marine
SRR12480339,1496829.708,1.496829708,13196233,8.816121788,Marine
SRR12479976,2073952.575,2.073952575,18302414,8.824895139,Marine
SRR12479910,2357486.301,2.357486301,20870545,8.852880709,Marine
SRR13122284,1450003.957,1.450003957,12942122,8.925577019,Marine
SRR12479945,2211544.448,2.211544448,20045770,9.064149724,Marine
ERR318621,1267604.022,1.267604022,11644531,9.186252802,Marine
SRR13122263,2108643.266,2.108643266,19593876,9.292172039,Marine
SRR12479728,2342969.705,2.342969705,21958986,9.372287637,Marine
SRR12479943,1842605.876,1.842605876,17520733,9.508670971,Marine
SRR12480179,1792011.548,1.792011548,17510943,9.771668614,Marine
SRR12480289,2194069.613,2.194069613,21736117,9.906758142,Marine
SRR12480263,2151619.976,2.151619976,21323761,9.910560992,Marine
SRR13122115,1848170.127,1.848170127,18840798,10.19429852,Marine
SRR13122141,1499939.086,1.499939086,15351960,10.23505564,Marine
SRR12479648,2039930.124,2.039930124,20912583,10.25161732,Marine
SRR12479755,2264378.651,2.264378651,23631274,10.43609645,Marine
SRR13122143,2185019.104,2.185019104,22812369,10.4403522,Marine
SRR13122133,2024642.333,2.024642333,21194096,10.46806918,Marine
SRR12479744,1785068.568,1.785068568,19272336,10.79641216,Marine
SRR12479650,1455642.117,1.455642117,15909199,10.92933408,Marine
ERR599010,2793787.046,2.793787046,30986697,11.09128809,Marine
SRR13122142,2458097.346,2.458097346,27602801,11.22933599,Marine
SRR13122237,2201333.273,2.201333273,24777453,11.25565734,Marine
SRR12479825,2361175.367,2.361175367,26618685,11.2734892,Marine
SRR12479647,1623522.992,1.623522992,18523863,11.40967088,Marine
SRR13122104,2407265.786,2.407265786,27486040,11.41794984,Marine
SRR12479915,2983212.793,2.983212793,34253573,11.48210851,Marine
SRR13122040,2185407.268,2.185407268,25144155,11.50547789,Marine
SRR12480134,1426373.765,1.426373765,16475077,11.55032251,Marine
SRR12479904,3275076.383,3.275076383,37850790,11.55722358,Marine
SRR12479679,1741069.633,1.741069633,21329300,12.2506875,Marine
SRR12479712,1960875.57,1.96087557,24056990,12.26849391,Marine
SRR12480130,2168426.273,2.168426273,26775374,12.34783693,Marine
SRR13122268,2284418.609,2.284418609,28245676,12.36449217,Marine
SRR13122184,1814049.363,1.814049363,22493801,12.39977338,Marine
SRR13122198,1865938.719,1.865938719,23670233,12.68542893,Marine
SRR13122243,2511248.354,2.511248354,32221125,12.8307202,Marine
SRR12479746,1895852.976,1.895852976,24432726,12.88745821,Marine
SRR13122283,1761502.595,1.761502595,23180416,13.15945606,Marine
SRR12479929,2108278.655,2.108278655,27751225,13.16297773,Marine
SRR12480269,2723379.216,2.723379216,36264641,13.3160453,Marine
SRR12479727,2329218.426,2.329218426,31068531,13.33860777,Marine
SRR12479923,2303223.701,2.303223701,30728405,13.34147655,Marine
SRR13122281,2026156.955,2.026156955,27203378,13.4260961,Marine
SRR12479987,1497097.171,1.497097171,20111619,13.43374324,Marine
SRR12479944,2019186.156,2.019186156,27300612,13.52060181,Marine
SRR12480280,1812773.565,1.812773565,24568700,13.55309922,Marine
SRR12479902,2841943.117,2.841943117,38603058,13.58333239,Marine
SRR13122177,2167304.487,2.167304487,29809900,13.75436639,Marine
SRR12479862,1737457.57,1.73745757,24100571,13.87117096,Marine
SRR12480064,2405119.976,2.405119976,33428664,13.89895903,Marine
SRR12479903,1714880.679,1.714880679,23901509,13.93770965,Marine
SRR13122037,1415091.779,1.415091779,19845542,14.02420839,Marine
SRR13122202,2014046.858,2.014046858,28320119,14.06130095,Marine
SRR12479853,1850740.868,1.850740868,26579193,14.36138006,Marine
SRR12479912,3124517.779,3.124517779,45841780,14.67163359,Marine
SRR13122276,1989158.711,1.989158711,29204451,14.68181037,Marine
SRR13153409,3284459.7,3.2844597,48935640,14.8991446,Marine
SRR13122114,1778289.901,1.778289901,26503313,14.90382023,Marine
SRR12480250,1931583.158,1.931583158,28805684,14.91299191,Marine
SRR12480101,1594916.497,1.594916497,23975725,15.03258951,Marine
SRR13122161,1441504.238,1.441504238,21734403,15.07758523,Marine
SRR13122041,2011426.103,2.011426103,30479400,15.15312939,Marine
ERR599155,2691998.678,2.691998678,41014964,15.23587821,Marine
SRR12479913,2190715.467,2.190715467,33719774,15.39212851,Marine
SRR13122109,2270438.151,2.270438151,35249992,15.52563411,Marine
SRR13122207,2499126.627,2.499126627,39667252,15.87244583,Marine
SRR13122261,2308079.243,2.308079243,36656228,15.88170255,Marine
SRR13122179,2189028.489,2.189028489,34819932,15.90656868,Marine
SRR12479764,2076404.859,2.076404859,33097449,15.93978595,Marine
SRR12479916,2569942.979,2.569942979,41056168,15.97551709,Marine
SRR12480054,1879908.111,1.879908111,30832860,16.4012591,Marine
SRR12479817,2127368.303,2.127368303,34925087,16.41703834,Marine
SRR12480086,1980999.941,1.980999941,32593161,16.45288338,Marine
SRR12479935,1896244.876,1.896244876,32017149,16.88450126,Marine
SRR12479905,2302164.893,2.302164893,38931714,16.91091464,Marine
SRR13122182,1881653.596,1.881653596,31823586,16.91256354,Marine
SRR13122091,2066081.324,2.066081324,35371383,17.12003424,Marine
SRR12479909,1908276.022,1.908276022,32691688,17.13153004,Marine
SRR12480287,1911668.841,1.911668841,32768126,17.14111006,Marine
SRR12480044,1911744.623,1.911744623,32790088,17.15191852,Marine
SRR12479922,2013997.073,2.013997073,34687034,17.22298134,Marine
SRR13122201,2009876.908,2.009876908,34771359,17.30024304,Marine
SRR12480143,2256051.63,2.25605163,39055317,17.3113578,Marine
SRR13153362,4292512.994,4.292512994,74458898,17.34622542,Marine
SRR12479937,1974851.486,1.974851486,34290190,17.36342719,Marine
SRR13122124,1472425.583,1.472425583,25633645,17.4091277,Marine
SRR13153530,3987226.841,3.987226841,70015093,17.55984693,Marine
SRR12479918,1761764.175,1.761764175,31161265,17.68753471,Marine
SRR12480295,2183530.582,2.183530582,38936904,17.83208549,Marine
SRR12480053,1855249.069,1.855249069,33320961,17.96037069,Marine
