tax,count,ratio,group
Organic acids and derivatives,7940,0.2707 ,Surface
Organic oxygen compounds,5832,0.1988 ,Surface
Lipids and lipid-like molecules,4479,0.1527 ,Surface
Homogeneous non-metal compounds,3363,0.1146 ,Surface
Homogeneous metal compounds,2386,0.0813 ,Surface
Organoheterocyclic compounds,2086,0.0711 ,Surface
"Nucleosides, nucleotides, and analogues",1136,0.0387 ,Surface
Benzenoids,753,0.0257 ,Surface
Organic nitrogen compounds,560,0.0191 ,Surface
Inorganic compounds,408,0.0139 ,Surface
Others,393,0.0134 ,Surface
Organic acids and derivatives,3552,0.2318 ,Marine
Lipids and lipid-like molecules,2725,0.1778 ,Marine
Organic oxygen compounds,2700,0.1762 ,Marine
Homogeneous non-metal compounds,2357,0.1538 ,Marine
Homogeneous metal compounds,1479,0.0965 ,Marine
"Nucleosides, nucleotides, and analogues",895,0.0584 ,Marine
Organoheterocyclic compounds,403,0.0263 ,Marine
Benzenoids,370,0.0241 ,Marine
Organooxygen compounds,321,0.0209 ,Marine
Organic nitrogen compounds,254,0.0166 ,Marine
Others,270,0.0176 ,Marine
Organic acids and derivatives,24769,0.3130 ,Soil
Organic oxygen compounds,13358,0.1688 ,Soil
Lipids and lipid-like molecules,10816,0.1367 ,Soil
Homogeneous non-metal compounds,9308,0.1176 ,Soil
Homogeneous metal compounds,5183,0.0655 ,Soil
"Nucleosides, nucleotides, and analogues",4564,0.0577 ,Soil
Benzenoids,3002,0.0379 ,Soil
Organoheterocyclic compounds,2921,0.0369 ,Soil
Inorganic compounds,1890,0.0239 ,Soil
Organic nitrogen compounds,1491,0.0188 ,Soil
Others,1842,0.0233 ,Soil
Organic acids and derivatives,52300,0.2792 ,WWTP
Organic oxygen compounds,34339,0.1833 ,WWTP
Homogeneous non-metal compounds,29382,0.1568 ,WWTP
Lipids and lipid-like molecules,23644,0.1262 ,WWTP
Homogeneous metal compounds,11368,0.0607 ,WWTP
"Nucleosides, nucleotides, and analogues",10272,0.0548 ,WWTP
Benzenoids,5937,0.0317 ,WWTP
Organoheterocyclic compounds,5716,0.0305 ,WWTP
Inorganic compounds,5471,0.0292 ,WWTP
Organooxygen compounds,4104,0.0219 ,WWTP
Others,4805,0.0256 ,WWTP
