genome,completeness,contamination,length,N50
ERR2607373_bin.1.fa,68.97,0.0,1897962,3403
ERR2607373_bin.10.fa,82.82,3.71,2776694,5310
ERR2607373_bin.11.fa,82.55,3.05,1497932,4827
ERR2607373_bin.12.fa,60.2,0.84,843250,5679
ERR2607373_bin.13.fa,76.45,1.17,1510634,3906
ERR2607373_bin.15.fa,85.9,2.33,1466273,7003
ERR2607373_bin.17.fa,90.75,1.29,1792142,18273
ERR2607373_bin.19.fa,74.67,0.98,1988637,4660
ERR2607373_bin.2.fa,84.22,0.1,1334128,5744
ERR2607373_bin.20.fa,86.36,2.3,1454797,4949
ERR2607373_bin.21.fa,87.71,0.68,2059902,3745
ERR2607373_bin.22.fa,89.01,2.39,1964140,3656
ERR2607373_bin.23.fa,98.58,0.0,1931152,78374
ERR2607373_bin.24.fa,64.42,2.59,2293827,4149
ERR2607373_bin.26.fa,91.32,8.22,1974787,2412
ERR2607373_bin.27.fa,81.52,4.66,1442153,5658
ERR2607373_bin.29.fa,71.25,3.87,1355223,2000
ERR2607373_bin.32.fa,62.45,2.01,1310377,2279
ERR2607373_bin.33.fa,70.05,3.6,2133129,1791
ERR2607373_bin.4.fa,90.45,2.66,2968704,7920
ERR2607373_bin.6.fa,79.22,2.18,2019058,4845
ERR2607373_bin.8.fa,87.2,4.95,2310584,4449
ERR2607373_bin.9.fa,82.65,2.42,1529313,4038
ERR2607384_bin.1.fa,86.67,5.28,2029290,7715
ERR2607384_bin.10.fa,61.83,1.81,1832549,4501
ERR2607384_bin.11.fa,93.17,4.11,1989099,4061
ERR2607384_bin.12.fa,80.81,2.35,2207086,12484
ERR2607384_bin.13.fa,59.09,0.89,1601354,5039
ERR2607384_bin.14.fa,61.07,0.0,1439464,4384
ERR2607384_bin.15.fa,90.59,6.84,1676760,4593
ERR2607384_bin.16.fa,77.37,3.78,1995969,3394
ERR2607384_bin.17.fa,68.18,1.7,1627906,2461
ERR2607384_bin.18.fa,95.85,4.08,1733113,8927
ERR2607384_bin.19.fa,80.4,2.71,1509257,3490
ERR2607384_bin.20.fa,87.73,3.52,3109227,4832
ERR2607384_bin.21.fa,87.48,0.0,1124351,4202
ERR2607384_bin.5.fa,92.08,0.22,1789994,28481
ERR2607384_bin.6.fa,59.48,0.0,2038012,6156
ERR2607385_bin.1.fa,81.9,3.43,1890572,3275
ERR2607385_bin.3.fa,75.47,3.32,2517190,4178
ERR2607385_bin.4.fa,66.11,1.55,916114,1636
ERR2607385_bin.5.fa,94.76,5.24,1706875,5526
ERR2607395_bin.1.fa,88.86,0.9,1956572,5964
ERR2607395_bin.10.fa,97.0,5.67,2576832,29454
ERR2607395_bin.11.fa,87.83,4.05,3060465,4512
ERR2607395_bin.12.fa,60.66,1.72,1425164,4749
ERR2607395_bin.14.fa,77.85,2.02,1088797,3449
ERR2607395_bin.15.fa,78.06,0.56,2059210,5363
ERR2607395_bin.2.fa,62.66,1.63,2023009,29364
