rMAGs,Completeness (%),Contamination (%),EGS (Mbp),group,phylum,class,order,family,genus
ERR2607373_bin.11,82.55360247,3.053892216,1.760725564,WWTP,Firmicutes,c__Negativicutes,o__Acidaminococcales,f__Acidaminococcaceae,g__RZYP01
ERR2607373_bin.2,84.21538462,0.103643725,1.582545396,WWTP,Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobrevibacter_A
ERR2607373_bin.22,89.01066828,2.394964134,2.155022358,WWTP,Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Agathobacter
ERR2607373_bin.23,98.57549858,0,1.959058821,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Formosimonas
ERR2607373_bin.4,90.45234455,2.661096549,3.19698921,WWTP,Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Micrococcaceae,g__Galactobacter
ERR2607373_bin.6,79.21636418,2.176226551,2.494502993,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Psychrobacter
ERR2607384_bin.20,87.73300073,3.520249221,3.42345117,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Ottowia
ERR2607384_bin.5,92.0754717,0.220125786,1.939780903,WWTP,Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Lactococcus_A
ERR2607385_bin.5,94.76409666,5.242616034,1.711458038,WWTP,Firmicutes,c__Negativicutes,o__Veillonellales,f__Dialisteraceae,g__Dialister
ERR2607395_bin.1,88.86243386,0.899470899,2.182170806,WWTP,Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__Bact-08
ERR2607395_bin.10,97.00312175,5.671175858,2.513876013,WWTP,Firmicutes,c__Clostridia,o__Christensenellales,f__CAG-138,g__UBA7703
ERR2607395_bin.14,77.84552846,2.023094144,1.370928338,WWTP,Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Arcobacteraceae,g__
ERR2607395_bin.15,78.06125774,0.555555556,2.623366838,WWTP,Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__WCHB1-69,g__UBA5429
ERR2607395_bin.3,90.24518235,3.456043956,2.163467646,WWTP,Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Sulfurospirillaceae,g__Sulfurospirillum
ERR2607395_bin.5,95.24216524,3.038936372,2.533417887,WWTP,Acidobacteriota,c__Aminicenantia,o__,f__,g__
ERR2607395_bin.6,81.19488536,2.777777778,3.522827408,WWTP,Desulfobacterota,c__Desulfovibrionia,o__Desulfovibrionales,f__Desulfomicrobiaceae,g__Desulfomicrobium
ERR2607410_bin.3,93.16939891,3.460837887,2.205151266,WWTP,Firmicutes,c__Bacilli,o__Lactobacillales,f__Aerococcaceae,g__Trichococcus
ERR2607426_bin.14,91.39784946,3.76344086,2.585110972,WWTP,Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Paludibacteraceae,g__UPXZ01
ERR2607426_bin.16,86.1423221,2.569614069,2.347648812,WWTP,Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__Leptotrichia_A
ERR2607426_bin.19,80.72133224,6.144688645,1.84993928,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Moraxella
ERR2607426_bin.25,91.35458389,1.275311526,1.851583092,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Brachymonas
ERR2607426_bin.26,80.20180369,3.700664951,3.355374036,WWTP,Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella
ERR2607426_bin.29,88.13823965,5.067284785,1.959587144,WWTP,Firmicutes,c__Negativicutes,o__Acidaminococcales,f__Acidaminococcaceae,g__RZYP01
ERR2607426_bin.3,77.5862069,0,2.927299955,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Neisseriaceae,g__Neisseria
ERR2607426_bin.4,89.11020249,0.11682243,1.980306898,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Brachymonas
ERR2607426_bin.6,94.56525482,5.138257576,2.226537038,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Pasteurellaceae,g__Mesocricetibacter
ERR2607430_bin.14,91.01038269,1.721461187,2.546731564,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter
ERR2607430_bin.15,87.35449735,0.634920635,2.137144367,WWTP,Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__DTU049,g__DTU049
ERR2607430_bin.18,93.35260116,1.685934489,3.292714002,WWTP,Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Cellulomonadaceae,g__
ERR2607430_bin.19,95.81836327,1.397205589,2.161963536,WWTP,Firmicutes,c__Negativicutes,o__JAGOZY01,f__JAGOZY01,g__JAGOHU01
ERR2607430_bin.20,75,0,2.899373333,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Comamonas
ERR2607430_bin.21,91.80216802,5.920230941,1.797100663,WWTP,Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Arcobacteraceae,g__Aliarcobacter
ERR2607430_bin.27,88.208731,1.219512195,2.294363759,WWTP,Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Arcobacteraceae,g__Aliarcobacter
ERR2607430_bin.29,91.72794118,0.367647059,2.705150961,WWTP,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__UJ101,g__UJ101
ERR2607430_bin.31,100,2.597402597,1.536733835,WWTP,Coprothermobacterota,c__Coprothermobacteria,o__Coprothermobacterales,f__Coprothermobacteraceae,g__Coprothermobacter
ERR2607430_bin.34,99.14529915,0.427350427,2.079653368,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Neisseriaceae,g__Neisseria
ERR2607430_bin.38,94.14414414,2.621621622,3.023450007,WWTP,Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Dermatophilaceae,g__Phycicoccus_A
ERR2607430_bin.7,100,0,2.953999,WWTP,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Empedobacter
ERR2607430_bin.8,99.50980392,1.225490196,2.719945794,WWTP,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Kaistella
ERR2607430_bin.9,98.87640449,7.46388443,3.396059107,WWTP,Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__Sebaldella
ERR2607435_bin.10,80.6547619,3.557256236,2.715036209,WWTP,Desulfobacterota,c__Desulfobulbia,o__Desulfobulbales,f__Desulfobulbaceae,g__Desulfobulbus
ERR2607438_bin.10,99.78302337,0.250357654,6.847529422,WWTP,Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces
ERR2607438_bin.15,75.07264622,2.706841291,3.203495511,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Pseudoxanthomonas_A
ERR2607438_bin.16,85.5704698,2.237136465,1.789700652,WWTP,Firmicutes,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__CAG-217
ERR2607438_bin.23,93.82284382,3.72960373,2.937543533,WWTP,Firmicutes,c__Clostridia,o__Christensenellales,f__CAG-74,g__UBA11524
ERR2607441_bin.4,75.92592593,4.541826309,2.491311122,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__JAGLBJ01
ERR2607441_bin.7,76.33143062,3.115001582,5.192228215,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Diaphorobacter_A
ERR2607441_bin.9,87.43992177,6.483648549,4.73042417,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Shewanellaceae,g__Shewanella
ERR2607471_bin.5,83.4203872,2.947614363,2.039653363,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Brachymonas
ERR2607471_bin.8,90.1660281,2.298850575,2.165667567,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Moraxella_A
ERR2683209_bin.29,91.29064066,2.686767692,4.205486103,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia
ERR2683209_bin.3,78.21316614,2.586206897,0.797282559,WWTP,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__Nanogingivalaceae,g__Nanogingivalis
ERR2683209_bin.33,91.54972544,1.174496644,1.806062587,WWTP,Firmicutes,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__Fimenecus
ERR2683215_bin.1,84.56959707,2.892011834,2.677205501,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Psychrobacter
ERR2683215_bin.10,81.42453164,0.406504065,1.789405655,WWTP,Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Arcobacteraceae,g__Aliarcobacter
ERR2683215_bin.14,75.3739135,4.220545977,2.46483156,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas_C
ERR2683215_bin.4,87.9355302,2.399983604,6.20314945,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Achromobacter
ERR2683215_bin.6,87.49764306,0.591900312,4.226973919,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Bordetella
ERR2683272_bin.10,82.35947712,5.882352941,2.262010408,WWTP,Halobacteriota,c__Methanosarcinia,o__Methanotrichales,f__Methanotrichaceae,g__Methanothrix
ERR2683272_bin.14,99.34640523,1.307189542,2.611222283,WWTP,Halobacteriota,c__Methanosarcinia,o__Methanotrichales,f__Methanotrichaceae,g__Methanothrix
ERR2683272_bin.17,78.97100721,0.653594771,2.101295418,WWTP,Halobacteriota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanospirillaceae,g__Methanospirillum
ERR2683272_bin.20,86.84196264,3.335466736,2.592270621,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Pseudoxanthomonas
ERR2683272_bin.21,96.54982363,0,3.137417435,WWTP,Desulfobacterota,c__Desulfobulbia,o__Desulfobulbales,f__Desulfobulbaceae,g__Desulfobulbus
ERR2683272_bin.24,84.14752916,2.334098032,4.633810434,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Rahnella
ERR2683272_bin.25,89.19936373,4.471544715,1.706495256,WWTP,Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Arcobacteraceae,g__Aliarcobacter
ERR2683272_bin.27,89.17240355,1.436781609,2.535050665,WWTP,Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Eisenbergiella
ERR2683272_bin.30,80.71895425,0,1.83695021,WWTP,Halobacteriota,c__Methanosarcinia,o__Methanotrichales,f__Methanotrichaceae,g__Methanothrix
ERR2683272_bin.34,97.41935484,0.073313783,3.315487999,WWTP,Firmicutes,c__Clostridia,o__Christensenellales,f__CAG-138,g__UBA7703
ERR2683272_bin.7,89.24731183,3.897849462,1.635935318,WWTP,Firmicutes,c__Clostridia,o__Christensenellales,f__CAG-138,g__SFEL01
ERR2683272_bin.9,89.50903837,5.338785047,3.363318728,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Ottowia
ERR2762132_bin.1,85.5646448,2.353294558,4.208006804,Marine,Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Sulfitobacter
ERR2762132_bin.14,99.04942966,0.190114068,3.461510832,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Ulvibacter
ERR2762132_bin.18,97.97657082,0.678913738,3.880351989,Marine,Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Ascidiaceihabitans
ERR2762132_bin.19,84.07575758,6.801242236,3.509486861,Marine,Proteobacteria,c__Alphaproteobacteria,o__Parvibaculales,f__Parvibaculaceae,g__Parvibaculum
ERR2762132_bin.2,100,0.297619048,6.151583715,Marine,Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Cyclobacteriaceae,g__Cyclobacterium
ERR2762132_bin.20,90.76687932,0.63973064,3.020330831,Marine,Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Jannaschia
ERR2762132_bin.21,98.99882214,1.504884639,3.045180026,Marine,Proteobacteria,c__Gammaproteobacteria,o__Nitrosococcales,f__Methylophagaceae,g__Methylophaga
ERR2762132_bin.22,97.43975904,4.155964517,4.150134186,Marine,Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Pseudooceanicola
ERR2762132_bin.23,97.8,0.2,2.977433681,Marine,Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__
ERR2762132_bin.25,79.40208537,0.448028674,3.758614069,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Schleiferiaceae,g__Owenweeksia
ERR2762132_bin.29,96.44507308,0.330033003,3.094792882,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Winogradskyella
ERR2762132_bin.31,99.24863388,1.366120219,4.335169355,Marine,Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Devosiaceae,g__Devosia
ERR2762132_bin.32,82.1786164,2.673492605,3.199640915,Marine,Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Parasphingorhabdus
ERR2762132_bin.33,79.82811422,0.800120773,2.898469891,Marine,Proteobacteria,c__Gammaproteobacteria,o__Nevskiales,f__Nevskiaceae,g__Polycyclovorans
ERR2762132_bin.34,99.29328622,0.176678445,4.074459952,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium
ERR2762132_bin.37,92.50639182,3.635346756,3.51641589,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Polaribacter
ERR2762132_bin.38,97.94918886,4.36026936,4.635745715,Marine,Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Alteromonadaceae,g__Cognaticolwellia
ERR2762132_bin.39,81.06437509,0.725162068,4.079575387,Marine,Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Thalassospiraceae,g__Thalassospira
ERR2762132_bin.4,98.89880952,0.892857143,4.402506746,Marine,Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Cyclobacteriaceae,g__Roseivirga
ERR2762132_bin.40,90.41780097,1.346656217,4.604829766,Marine,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Halomonadaceae,g__Halomonas
ERR2762132_bin.41,86.24419653,4.177960098,2.85609347,Marine,Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Yoonia
ERR2762132_bin.42,94.4275194,6.824595158,4.969732114,Marine,Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Alteromonadaceae,g__Paraglaciecola
ERR2762132_bin.43,98.41945289,0.987841945,2.618572259,Marine,Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Amylibacter
ERR2762132_bin.45,98.14176245,1.433189655,3.406326695,Marine,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas_D
ERR2762132_bin.46,98.50746269,0.497512438,4.096600388,Marine,Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Casp-alpha2,g__UBA1479
ERR2762132_bin.49,98.29854809,1.364942529,3.913683821,Marine,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Spongiibacteraceae,g__Marortus
ERR2762132_bin.50,85.72420635,6.200396825,6.393445008,Marine,Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Spirosomaceae,g__Dyadobacter
ERR2762132_bin.53,99.29292929,0.454545455,3.263043883,Marine,Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Pararhodobacter
ERR2762132_bin.54,91.67701863,2.826086957,2.835243236,Marine,Proteobacteria,c__Alphaproteobacteria,o__Micavibrionales,f__Micavibrionaceae,g__UBA2705
ERR2762132_bin.56,92.38980757,0.98990821,3.719946407,Marine,Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Sulfitobacter
ERR2762132_bin.59,84.95310245,1.841491841,3.499250161,Marine,Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Pseudorhodobacter
ERR2762132_bin.6,91.16563147,3.188405797,2.751695558,Marine,Proteobacteria,c__Alphaproteobacteria,o__Micavibrionales,f__UBA2020,g__CSBR16-224
