rMAGs,Completeness (%),Contamination (%),EGS (Mbp),group,phylum,class,order,family,genus,avg_rpkm
ERR2607373_bin.11,82.55360247,3.053892216,1.760725564,WWTP,Firmicutes,c__Negativicutes,o__Acidaminococcales,f__Acidaminococcaceae,g__RZYP01,0.317202095
ERR2607373_bin.2,84.21538462,0.103643725,1.582545396,WWTP,Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobrevibacter_A,0.327383172
ERR2607373_bin.22,89.01066828,2.394964134,2.155022358,WWTP,Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Agathobacter,0.779710468
ERR2607373_bin.23,98.57549858,0,1.959058821,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Formosimonas,0.791304304
ERR2607373_bin.4,90.45234455,2.661096549,3.19698921,WWTP,Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Micrococcaceae,g__Galactobacter,0.049962882
ERR2607373_bin.6,79.21636418,2.176226551,2.494502993,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Psychrobacter,1.101789087
ERR2607384_bin.20,87.73300073,3.520249221,3.42345117,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Ottowia,2.273357101
ERR2607384_bin.5,92.0754717,0.220125786,1.939780903,WWTP,Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Lactococcus_A,1.734753552
ERR2607385_bin.5,94.76409666,5.242616034,1.711458038,WWTP,Firmicutes,c__Negativicutes,o__Veillonellales,f__Dialisteraceae,g__Dialister,2.465610144
ERR2607395_bin.1,88.86243386,0.899470899,2.182170806,WWTP,Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__Bact-08,0.139869741
ERR2607395_bin.10,97.00312175,5.671175858,2.513876013,WWTP,Firmicutes,c__Clostridia,o__Christensenellales,f__CAG-138,g__UBA7703,0.249910526
ERR2607395_bin.14,77.84552846,2.023094144,1.370928338,WWTP,Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Arcobacteraceae,g__,1.11835251
ERR2607395_bin.15,78.06125774,0.555555556,2.623366838,WWTP,Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__WCHB1-69,g__UBA5429,0.160634709
ERR2607395_bin.3,90.24518235,3.456043956,2.163467646,WWTP,Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Sulfurospirillaceae,g__Sulfurospirillum,0.20064775
ERR2607395_bin.5,95.24216524,3.038936372,2.533417887,WWTP,Acidobacteriota,c__Aminicenantia,o__,f__,g__,0.421536837
ERR2607395_bin.6,81.19488536,2.777777778,3.522827408,WWTP,Desulfobacterota,c__Desulfovibrionia,o__Desulfovibrionales,f__Desulfomicrobiaceae,g__Desulfomicrobium,0.118811813
ERR2607410_bin.3,93.16939891,3.460837887,2.205151266,WWTP,Firmicutes,c__Bacilli,o__Lactobacillales,f__Aerococcaceae,g__Trichococcus,3.811980156
ERR2607426_bin.14,91.39784946,3.76344086,2.585110972,WWTP,Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Paludibacteraceae,g__UPXZ01,0.49336479
ERR2607426_bin.16,86.1423221,2.569614069,2.347648812,WWTP,Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__Leptotrichia_A,0.076404378
ERR2607426_bin.19,80.72133224,6.144688645,1.84993928,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Moraxella,0.136456846
ERR2607426_bin.25,91.35458389,1.275311526,1.851583092,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Brachymonas,0.159720277
ERR2607426_bin.26,80.20180369,3.700664951,3.355374036,WWTP,Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,0.055126612
ERR2607426_bin.29,88.13823965,5.067284785,1.959587144,WWTP,Firmicutes,c__Negativicutes,o__Acidaminococcales,f__Acidaminococcaceae,g__RZYP01,0.165946201
ERR2607426_bin.3,77.5862069,0,2.927299955,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Neisseriaceae,g__Neisseria,0.218195083
ERR2607426_bin.4,89.11020249,0.11682243,1.980306898,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Brachymonas,1.059434151
ERR2607426_bin.6,94.56525482,5.138257576,2.226537038,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Pasteurellaceae,g__Mesocricetibacter,0.178935171
ERR2607430_bin.14,91.01038269,1.721461187,2.546731564,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,0.276188461
ERR2607430_bin.15,87.35449735,0.634920635,2.137144367,WWTP,Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__DTU049,g__DTU049,0.024767398
ERR2607430_bin.18,93.35260116,1.685934489,3.292714002,WWTP,Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Cellulomonadaceae,g__,0.053279924
ERR2607430_bin.19,95.81836327,1.397205589,2.161963536,WWTP,Firmicutes,c__Negativicutes,o__JAGOZY01,f__JAGOZY01,g__JAGOHU01,0.203835214
ERR2607430_bin.20,75,0,2.899373333,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Comamonas,3.468992074
ERR2607430_bin.21,91.80216802,5.920230941,1.797100663,WWTP,Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Arcobacteraceae,g__Aliarcobacter,0.882441383
ERR2607430_bin.27,88.208731,1.219512195,2.294363759,WWTP,Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Arcobacteraceae,g__Aliarcobacter,0.188710605
ERR2607430_bin.29,91.72794118,0.367647059,2.705150961,WWTP,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__UJ101,g__UJ101,0.060859986
ERR2607430_bin.31,100,2.597402597,1.536733835,WWTP,Coprothermobacterota,c__Coprothermobacteria,o__Coprothermobacterales,f__Coprothermobacteraceae,g__Coprothermobacter,0.047153871
ERR2607430_bin.34,99.14529915,0.427350427,2.079653368,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Neisseriaceae,g__Neisseria,0.412992659
ERR2607430_bin.38,94.14414414,2.621621622,3.023450007,WWTP,Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Dermatophilaceae,g__Phycicoccus_A,0.302218572
ERR2607430_bin.7,100,0,2.953999,WWTP,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Empedobacter,0.149783951
ERR2607430_bin.8,99.50980392,1.225490196,2.719945794,WWTP,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Kaistella,0.242817715
ERR2607430_bin.9,98.87640449,7.46388443,3.396059107,WWTP,Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__Sebaldella,0.124621594
ERR2607435_bin.10,80.6547619,3.557256236,2.715036209,WWTP,Desulfobacterota,c__Desulfobulbia,o__Desulfobulbales,f__Desulfobulbaceae,g__Desulfobulbus,0.662503194
ERR2607438_bin.10,99.78302337,0.250357654,6.847529422,WWTP,Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,0.088812118
ERR2607438_bin.15,75.07264622,2.706841291,3.203495511,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Pseudoxanthomonas_A,0.963749429
ERR2607438_bin.16,85.5704698,2.237136465,1.789700652,WWTP,Firmicutes,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__CAG-217,0.167425186
ERR2607438_bin.23,93.82284382,3.72960373,2.937543533,WWTP,Firmicutes,c__Clostridia,o__Christensenellales,f__CAG-74,g__UBA11524,0.393201993
ERR2607441_bin.4,75.92592593,4.541826309,2.491311122,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__JAGLBJ01,0.044146022
ERR2607441_bin.7,76.33143062,3.115001582,5.192228215,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Diaphorobacter_A,0.205873279
ERR2607441_bin.9,87.43992177,6.483648549,4.73042417,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Shewanellaceae,g__Shewanella,0.110372093
ERR2607471_bin.5,83.4203872,2.947614363,2.039653363,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Brachymonas,0.181452739
ERR2607471_bin.8,90.1660281,2.298850575,2.165667567,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Moraxella_A,3.23760808
ERR2683209_bin.29,91.29064066,2.686767692,4.205486103,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia,0.93510548
ERR2683209_bin.3,78.21316614,2.586206897,0.797282559,WWTP,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__Nanogingivalaceae,g__Nanogingivalis,0.292986593
ERR2683209_bin.33,91.54972544,1.174496644,1.806062587,WWTP,Firmicutes,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__Fimenecus,0.899827232
